Experience Level,Min. Salary Estimate (in thousands of $),Max. Salary Estimate (in thousands of $)
SWRMC Assessments Junior Data Analyst,39,69 
Sr. Research Scientist II (AD),39,69 
Jr. Data Engineer,39,69 
Clinical Research Data Manager,39,69 
Senior Scientist - Computational Biology,88,140 
Senior Data Analyst,88,140 
Senior Scientist (Molecular Dx Dermatology,88,140 
Sr Data Engineer (DBA),88,140 
Sr Data Engineer-Supply Chain,88,140 
Sr. Data Analytics consultant,74,129 
Data Analyst Junior,74,129 
Senior Data Engineer,74,129 
Senior Scientist - CMC Analytical Development,114,211 
Risk Analytics Manager,114,211 
Staff or Sr. Scientist Pharm R&D,114,211 
Sr. Scientist - Digital & Image Analysis/Computational Pathology,75,149 
Scientist / Sr. Scientist – Cell Line Development,75,149 
Sr. Scientist Analytical Method Development,112,211 
Senior Scientist - Immunotherapeutic Design,112,211 
Sr. Scientist - NGS Assay Development,112,211 
In Vivo Senior Principal Scientist,62,127 
Senior Data Engineer,62,127 
Research Scientist - SRA,86,178 
Sr. Data Manager (Sr. Associate),86,178 
 Senior Scientist",86,178 
Senior Scientist - Medical Device,110,169 
Senior Scientist – Immunotherapeutic Design,110,169 
 Sr Staff",110,169 
Sr Data-Applied Scientist-PCCI,12,112 
Sr Data-Applied Scientist-PCCI,12,111 
Senior Data Scientist,12,111 
Senior Data Scientist,12,111 
(Senior) Human Scientist,12,111 
Director Data Scientist - Data Science Hub,134,210 
Sr Data Scientist,134,210 
Senior Data Scientist - Nationwide Opportunities,49,78 
Senior Data Scientist,49,78 
Sr. Data Scientist,49,78 
Junior Data Analyst,49,78 
Director - Data Science,49,78 
Senior Software/Data Engineer,49,78 
Sr Quantitative Analyst,48,98 
 Manager",48,98 
Sr. Data & ML Engineer,48,98 
Business Intelligence Analyst Senior,85,159 
VP - Data Scientist,85,159 
Sr. Data Scientist,85,159 
Call Center Analytics Manager,85,159 
Senior Data Analyst - Property Operations,51,79 
Senior Data Analyst,51,79 
Senior Data Scientist-Healthcare,51,79 
Senior Quantitative Analyst,51,79 
Big Data/Machine Learning Engineer - Sr,51,79 
Director of Data Science,51,79 
Big Data/Machine Learning Engineer - Sr,49,92 
Big Data/Machine Learning Engineer - Sr,49,92 
Sr. Data Engineer,49,92 
Director of Data Analytics,49,92 
 Vice President",49,92 
Senior Data Architect,49,92 
Sr. Enterprise BI Data Analyst,49,92 
Senior Data Analyst,49,92 
Sr. Data Analyst,49,92 
Senior Data Engineer,49,92 
Senior Data Analyst,49,92 
Sr. Data Analyst - Healthcare Claims,49,92 
Senior Data Analyst,85,147 
Sr. Analytics Consultant,45,78 
Sr. Data Engineer,45,78 
Senior Data Analyst,48,89 
Sr. Business Data Analyst Enterprise Risk,48,89 
Big Data/Machine Learning Engineer - Sr,48,89 
Senior Business Intelligence Analyst,48,89 
Director - Translational Scientist Liaisons,48,89 
Sr. Business Data Analyst - Enterprise Risk,48,89 
Sr. Enterprise BI Data Analyst,46,91 
Senior Business Intelligence Analyst,46,91 
Data Science Sr. Analyst,46,91 
Full Stack Data Engineer Irving AVP/C12,46,91 
Sr. Data Modeler (Open API),46,91 
Senior Machine Learning Engineer,46,91 
Senior Data Engineer,46,91 
Sr. Data Engineer - Dive Into Big Data & Get Plenty of PTO,73,102 
Manager of Data Science/Analytics,73,102 
Sr Data Engineer Hadoop,73,102 
(Senior) Data Engineer,73,102 
Sr. BI Data Engineer and Analyst,73,102 
Senior Data Architect,73,102 
Development Analytics Manager,73,102 
Federal - Data Engineer - Senior,73,102 
Business Analytics Manager,73,102 
Business Strategy and Planning Director - Data Science Strategy,73,102 
Sr. Data Engineer,73,102 
Senior Data Engineer,73,102 
Corporate Senior Business Intelligence Analyst,73,102 
Sr. Big Data Engineer,100,172 
Wi-Fi Senior Data Scientist,93,149 
Senior Data Engineer,93,149 
Senior Data Modeler,93,149 
Senior Data Scientist,93,149 
Principal Data Scientist / Sr. Principal Data Scientist,93,149 
Senior Scientist/Scientist II - IVD,93,149 
Cyber Security Senior Data Scientist,93,149 
Senior Machine Learning Engineer,148,174 
Sr Data Scientist,148,174 
Senior Data Engineer,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist,111,175 
Senior Data Scientist (San Jose OR Austin),111,175 
Sr. Data Software Engineer,111,175 
Senior Data Analyst,111,175 
Lead Senior Data Scientist,111,175 
Sr. Data Scientist II,150,237 
Senior Decision Scientist-,150,237 
Sr. Data Analyst - Growth & Adoption,150,237 
Senior Data Engineer,150,237 
Sr. Data Scientist - Marketing Analytics,150,237 
Senior or Staff Data Scientist,150,237 
Senior HR Data Analyst,200,250
Senior Data Scientist,200,250
Sr. Data Scientist - Platform Manipulation,200,250
Sr. Data Scientist/Analyst,200,250
Senior Data Analyst,200,250
Senior Principal Data Scientist (Python/R),135,214 
Senior Decision Scientist,135,214 
Senior Data Scientist,135,214 
Senior Data Scientist,135,214 
Senior Data Scientist (San Jose OR Austin),135,214 
Senior Data Scientist,135,214 
Senior Data Scientist,135,214 
Sr. Data Scientist,135,214 
Sr. BI Data Engineer III,135,214 
Senior Big Data Engineer,135,214 
Senior Data Scientist,119,188 
Senior Machine Learning Engineer,119,188 
Senior Data Scientist,119,188 
Sr. Data Scientist,145,176 
Senior Data Scientist Customer Experience,145,176 
Senior Data Scientist,145,176 
Senior Data Scientist (Customer Experience),145,176 
Senior Data Scientist,145,176 
Director Data Science,145,176 
Senior Data Scientist - Optimization,150,169 
Senior Bioinformatics Scientist,150,169 
Junior Data Analyst,150,169 
Senior Data Scientist,150,169 
Sr. Data Engineer (Remote US),150,169 
Senior Data Scientist,150,169 
Sr. Data Analyst,150,169 
Senior Data Scientist,121,192 
Federal - Senior Machine Learning Engineer,121,192 
Data Science Manager,141,225 
Senior Data Scientist - Pricing,141,225 
Sr. AWS Data Engineer,141,225 
Senior Data Engineer - Core Data Science & Engineering,141,225 
Senior Data Scientist - Business Growth,141,225 
Sr Medical Data Scientist,102,179 
Senior Director of Data Science,102,179 
Federal - Data Engineer - Senior,102,179 
Junior Data Engineer,116,181 
Senior Data & Applied Scientist,116,181 
Senior Data Scientist,112,178 
Junior Data Analyst,112,178 
Senior Data Scientist,112,178 
Remote Senior Data Scientist (Healthcare / Claims Data),93,151 
Junior Data Analyst,93,151 
Junior Data Analyst,93,151 
Junior Data Analyst,100,152 
Senior Data Scientist,100,152 
Junior Data Analyst,100,152 
Junior Data Engineer,100,152 
Senior Data Scientist,100,152 
CPU Performance –Sr Principal Modeling Engineer,100,152 
Product Manager - Data Science,100,152 
Senior Data Scientist - Nationwide Opportunities,100,152 
Senior Staff Data Engineer,38,68 
Senior Data Scientist and Machine Learning Expert,73,111 
Digital Analytics and Data Science Manager,73,111 
Senior Claims Data Analyst,73,111 
Senior Data Engineer,73,111 
Senior Data Analyst,73,111 
Senior Data Engineer (ATX),82,129
Senior Data Engineer,82,129
Senior Data Analyst,82,129
Jr. Data Engineer,82,129
Senior Claims Data Analyst,74,144 
Senior Strategy Data Analyst,74,144 
Senior Data Engineer,74,144 
Sr. Machine Learning Engineer,74,144 
Senior Data Engineer,74,144 
Data Analyst Junior,74,144 
Data Engineer-Sr Specialist,74,144 
Senior Data Analyst,74,144 
Marketing Analytics Manager,41,66 
Senior Data Engineer (ATX),41,66 
Senior Business Intelligence Analyst,59,113 
Sr. Data Engineer,59,113 
Sr Advanced Data Architect/Data Engineer,70,129 
 Senior",70,129 
Sr Snowflake Data Engineer,70,129 
Data Sciences Program Manager with Security Clearance,70,129 
Senior Data Engineer,70,129 
Senior Cloud Data Analyst,70,129 
Jr. Data Engineer with Security Clearance,70,129 
Senior Data Science Engineer,70,129 
Senior Data Analyst / Senior BI and Insights Analyst,70,129 
Senior Data Engineer,50,110 
Sr Advanced Data Architect/Data Engineer,50,110 
Data Engineer- Sr. Specialist,50,110 
Enterprise Architecture & Data Analytics Manager,50,110 
Federal - Data Engineer - Senior,50,110 
Data Analyst/Program Manager,50,110 
Senior Data Engineer / Architect,50,110 
Senior Data Modeler - Technical Architect,50,110 
Senior Data Engineer,50,110 
Data Science Manager,62,112 
Senior Data Engineer,62,112 
DPS - FIN - CAPPS Financial Senior Data Analyst,62,112 
Senior Machine Learning Engineer,62,112 
Data Engineer- Sr. Specialist,62,112 
SR. COMPUTER SCIENTIST - SR. RESEARCH ENGINEER - EMBEDDED SOFTWARE,62,112 
Data Science Director,62,112 
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SIGNAL PROCESSING,62,112 
Data Analyst â Junior,62,112 
Sr. Data Scientist,61,94 
Junior Data Analyst,61,94 
Senior Data Analyst,61,94 
Data Analytics Manager,61,94 
Sr BI Data Engineer,54,88 
Sr. Data Analyst - Guidewire Data Hub,54,88 
Data Analyst Junior,54,88 
Senior Environmental Scientist / Ecologist,54,88 
Director of Development & Data Science,54,88 
Senior Data Analyst- Guidewire Data Hub,54,88 
Senior Business Intelligence Analyst,66,130 
Senior Environmental Scientist Part Time,66,130 
Senior Environmental Scientist Part Time,66,130 
Data Analyst â Junior,66,130 
Senior Data Engineer - C3.ai,66,130 
Sr Data Scientist,57,80 
Sr Data Analyst,57,80 
Database- Sr. Data Engineer,39,71 
Senior Data Analyst,55,98 
Sr. Data Engineer,100,172 
Web Analytics Manager,100,172 
Hadoop Developer / Big Data Engineer / senior Data Engineer,100,172 
Sr. Big Data Engineer,100,172 
Senior. Data Engineer - Informatica,100,172 
Sr Data Engineer,100,172 
Sr. Data Engineer,100,172 
Sr. Big data Ebgineer,100,172 
Senior Developer - Data Engineer |,100,172 
Federal - Data Engineer - Senior,100,172 
Cyber Security Research Scientist 3 - Sr. Application Pentester,100,172 
Full Stack Data Engineer Irving AVP/C12,100,172 
Web Analytics Manager,100,172 
Senior Data Engineer with Kafka-Yarn-Spark-HDFS and HIVE,100,172 
Sr. Data Architect (contract-to-hire),100,172 
Senior Big Data Engineer,93,103 
Senior Big Data Engineer,93,103 
Senior Big Data Engineer,93,103 
Senior Cloud Data Engineer,93,103 
Senior Big Data Engineer,93,103 
Senior Cloud Data Engineer,93,103 
Senior Big Data Engineer,93,103 
Senior Data Scientist,100,163 
Junior Data Scientist,100,163 
Data Science Manager,100,163 
Data Scientist Sr. Associate - SALES SCIENCE,100,163 
Data Scientist Associate Sr (DADS06) CCB ML & AI,100,163 
Business Analyst / Data Scientist Manager,98,160 
Healthcare Data Analytics PhD / Sr. Data Scientist,98,160 
PhD or Senior Data Scientist - - Healthcare Data Analytics,98,160 
Junior Data Analyst,98,160 
Senior Data Scientist,98,160 
Business Analytics Manager,98,160 
VP - Global Data & Analytics,52,94 
Senior Data Scientist *,52,94 
Senior Scientist,52,94 
Sr. Scientist,55,113 
Environmental Senior Research Scientist,55,113 
Senior Staff Scientist,55,113 
Senior Business Intelligence Data Engineer,55,113 
Data Analyst Junior,55,113 
Quant Analytics Manager (DAQA07) SALES SCIENCE,39,86 
Research Scientist Sr- RI Deans,39,86 
Data Engineer Sr,39,86 
CCB F&BM - Quantitative Modeling/Data Science - Vice President,39,86 
Director of Data Science - Big Data + Machine Learning,39,86 
Senior Research Scientist - RI IPP Cooper,55,112 
Senior AWS Big Data Engineer,55,112 
Federal - Data Engineer - Senior,55,112 
Sr Data Modeler,55,112 
Senior/Principal Scientist - Display Technologies/NGS,55,112 
Senior Data Engineer (Data ELT/ETL Engineer),55,112 
Senior Data Engineer,55,112 
Software Engineer - Senior Data Analyst,55,112 
Sr Data Analyst,55,112 
Data Analyst â Junior,55,112 
